,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,Duration,B365W,B365L,WServeRating,WAces,WDoubleFaults,W1stServe,W1stServePointsWon,W2ndServePointsWon,WServicePointsWon,WReturnRating,W1stServeReturnPointsWon,W2ndServeReturnPointsWon,WReturnPointsWon,LServeRating,LAces,LDoubleFaults,L1stServe,L1stServePointsWon,L2ndServePointsWon,LServicePointsWon,LReturnRating,L1stServeReturnPointsWon,L2ndServeReturnPointsWon,LReturnPointsWon
84,Tata Open Maharashtra,1/3/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Kevin Anderson,Jaume Munar,6,81,6,3,6,3,,,,,,,2,0,Completed,01:08:47,1.30,3.68,298,14,1,65%,82%,50%,71%,241,38%,59%,47%,220,3,1,60%,62%,41%,53%,129,18%,50%,29%
85,Tata Open Maharashtra,1/3/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Gilles Simon,Benoit Paire,30,52,3,6,7,6,6,4,,,,,2,1,Completed,02:19:00,1.57,2.48,267,4,4,71%,73%,43%,64%,126,25%,58%,40%,251,11,12,54%,75%,42%,60%,131,27%,57%,36%
86,Tata Open Maharashtra,1/3/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Steve Darcis,Malek Jaziri,N/A,45,7,5,6,2,,,,,,,2,0,Completed,01:33:34,1.85,2.00,290,1,0,65%,64%,70%,66%,202,23%,59%,45%,223,6,0,39%,77%,41%,55%,101,36%,30%,34%
87,Tata Open Maharashtra,1/3/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Ivo Karlovic,Ernests Gulbis,100,95,7,6,7,6,,,,,,,2,0,Completed,01:45:54,2.13,1.74,330,25,4,72%,85%,52%,76%,56,11%,45%,26%,309,10,3,58%,89%,55%,74%,63,15%,48%,24%
88,Tata Open Maharashtra,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Kevin Anderson,Laslo Djere,6,93,7,6,7,6,,,,,,,2,0,Completed,02:08:34,1.33,3.38,316,20,2,67%,81%,59%,74%,103,25%,56%,36%,276,6,4,64%,75%,44%,64%,118,19%,41%,26%
89,Tata Open Maharashtra,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Ernests Gulbis,Hyeon Chung,95,25,7,6,6,2,,,,,,,2,0,Completed,01:38:29,3.25,1.35,252,8,1,51%,72%,52%,62%,211,54%,44%,50%,205,0,3,56%,46%,56%,50%,181,28%,48%,38%
90,Tata Open Maharashtra,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Gilles Simon,Ilya Ivashka,30,91,6,7,6,2,6,1,,,,,2,1,Completed,02:31:13,1.45,2.79,297,9,2,58%,68%,64%,66%,166,39%,50%,43%,237,4,5,63%,61%,50%,57%,68,32%,36%,34%
91,Tata Open Maharashtra,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Malek Jaziri,Ramkumar Ramanathan,45,132,6,7,7,6,6,3,,,,,2,1,Completed,02:46:54,1.95,1.87,263,6,6,55%,76%,45%,62%,151,27%,57%,37%,273,20,8,69%,73%,43%,63%,111,24%,55%,38%
92,Tata Open Maharashtra,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Benoit Paire,Jiri Vesely,52,89,6,4,6,2,,,,,,,2,0,Completed,01:11:58,1.55,2.48,281,11,6,42%,91%,55%,70%,173,44%,54%,48%,216,2,3,60%,56%,46%,52%,90,9%,45%,30%
93,Tata Open Maharashtra,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Jaume Munar,Simone Bolelli,81,141,7,5,6,0,,,,,,,2,0,Completed,01:16:20,2.08,1.76,294,4,1,77%,81%,45%,72%,232,52%,62%,56%,197,1,1,67%,48%,38%,44%,185,19%,55%,28%
94,Tata Open Maharashtra,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Steve Darcis,Michael Mmoh,N/A,103,4,6,7,6,6,2,,,,,2,1,Completed,03:09:19,2.45,1.57,269,5,5,62%,63%,58%,61%,119,35%,43%,38%,269,2,1,66%,65%,57%,62%,103,37%,42%,39%
95,Tata Open Maharashtra,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Ivo Karlovic,Evgeny Donskoy,100,97,6,4,7,5,,,,,,,2,0,Completed,01:12:11,1.66,2.25,359,17,2,71%,86%,87%,86%,140,20%,52%,35%,265,8,3,51%,80%,48%,65%,27,14%,13%,14%
96,Tata Open Maharashtra,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Benoit Paire,Thiago Monteiro,52,120,7,6,6,3,,,,,,,2,0,Completed,01:27:37,1.35,3.23,306,18,3,56%,84%,51%,70%,147,24%,55%,33%,277,5,1,71%,76%,45%,67%,65,16%,49%,30%
97,Tata Open Maharashtra,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Simone Bolelli,Denis Istomin,141,92,6,4,6,4,,,,,,,2,0,Completed,01:22:35,2.12,1.73,295,3,1,70%,72%,61%,69%,201,34%,37%,35%,269,7,2,65%,66%,63%,65%,102,28%,39%,31%
98,Tata Open Maharashtra,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Laslo Djere,Arjun Kadhe,93,392,7,5,7,6,,,,,,,2,0,Completed,01:43:01,1.25,4.00,303,8,2,61%,86%,59%,76%,116,34%,44%,38%,276,6,1,66%,66%,56%,62%,96,14%,41%,24%
99,Tata Open Maharashtra,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Ilya Ivashka,Hubert Hurkacz,91,86,6,7,6,2,6,3,,,,,2,1,Completed,02:18:09,2.27,1.64,295,2,7,58%,75%,67%,72%,154,27%,56%,36%,269,9,3,68%,73%,44%,64%,58,25%,33%,28%
100,Tata Open Maharashtra,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Ivo Karlovic,Felix Auger-Aliassime,100,108,6,4,7,5,,,,,,,2,0,Completed,01:14:57,2.18,1.70,330,13,1,62%,85%,71%,80%,188,23%,47%,30%,285,7,3,70%,77%,53%,70%,44,15%,29%,20%
101,Tata Open Maharashtra,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Ramkumar Ramanathan,Marcel Granollers,132,96,4,6,6,4,6,3,,,,,2,1,Completed,01:57:52,2.31,1.62,287,9,6,71%,77%,50%,69%,174,33%,45%,36%,276,3,2,75%,67%,55%,64%,153,23%,50%,31%
102,Tata Open Maharashtra,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Jiri Vesely,Antoine Hoang,89,149,4,6,6,4,6,4,,,,,2,1,Completed,02:17:08,1.89,1.91,291,10,1,58%,79%,59%,70%,133,36%,39%,37%,282,6,3,74%,64%,61%,63%,115,21%,41%,30%
103,Tata Open Maharashtra,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Steve Darcis,Roberto Carballes Baena,N/A,73,6,3,6,4,,,,,,,2,0,Completed,01:33:43,2.38,1.59,266,6,2,59%,64%,59%,62%,222,31%,67%,46%,211,3,6,57%,69%,33%,54%,126,36%,41%,38%
104,Tata Open Maharashtra,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Jaume Munar,Radu Albot,81,98,6,2,7,6,,,,,,,2,0,Completed,01:43:56,1.96,1.86,284,4,1,74%,67%,50%,63%,156,38%,50%,43%,241,1,4,62%,62%,50%,57%,103,33%,50%,37%
105,Tata Open Maharashtra,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Evgeny Donskoy,Pablo Andujar,97,82,6,3,5,7,7,6,,,,,2,1,Completed,02:30:49,1.53,2.54,270,7,0,63%,71%,48%,62%,166,25%,51%,39%,241,1,8,48%,75%,49%,61%,138,29%,53%,38%
106,Tata Open Maharashtra,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Ernests Gulbis,Pedro Sousa,95,104,6,4,4,6,6,4,,,,,2,1,Completed,02:14:55,1.36,3.22,284,14,6,60%,74%,56%,67%,132,33%,49%,39%,261,1,2,64%,67%,51%,61%,105,26%,44%,33%
107,Tata Open Maharashtra,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Michael Mmoh,Prajnesh Gunneswaran,103,110,7,5,6,3,,,,,,,2,0,Completed,01:14:54,1.75,2.10,319,5,0,81%,87%,56%,81%,205,28%,61%,44%,225,2,2,51%,72%,39%,56%,117,13%,44%,19%
