5 conf modelling,,,,,,,,,,,1 conf modelling,,,,,,,,,,,,,,
match_index,Pinnacle_Odds,correct_prediction,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,date,Player1,Player2,,,correct_prediction_1confmodel,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,,,,,,,,,,,
46712,1.89,1,1.416452583,0.749445811,0.25819378,09/01/2018,Vesely J.,Albot R.,,,1,1.653966068,0.875114322,0.251840353,,,,,,,,,,,
46713,2.46,0,0.846438261,0.438639601,0.525738051,09/01/2018,De Minaur A.,Verdasco F.,,,0,0.937794165,0.489511728,0.582480848,,,,,,,,,,,
46714,1.34,1,1.079403187,0.805524766,0.237758085,09/01/2018,Lopez F.,Vukic A.,,,1,1.151037912,0.858983517,0.34757635,,,,,,,,,,,
46715,2.19,0,1.023009924,0.42552523,0.581255639,10/01/2018,Lorenzi P.,Ramos-Vinolas A.,,,0,1.011379366,0.335582137,0.574647367,,,,,,,,,,,
46716,2.12,1,1.943437422,0.916715765,0.125276496,10/01/2018,Paire B.,Mayer L.,,,1,1.988371265,0.937910974,0.278021127,,,,,,,,,,,
46717,2.2,1,1.533854425,0.697206557,0.318354017,10/01/2018,Muller G.,Millman J.,,,1,1.552793431,0.705815196,0.227042004,,,,,,,,,,,
46718,2.77,1,1.665657618,0.60132044,0.375064874,10/01/2018,Fognini F.,Dolgopolov O.,,,1,1.90211554,0.68668431,0.482476592,,,,,,,,,,,
46719,1.88,1,1.41933771,0.754966867,0.310705519,10/01/2018,Medvedev D.,Donaldson J.,,,1,1.584019959,0.842563808,0.324367225,,,,,,,,,,,
46720,2.73,1,2.343674028,0.858488655,0.308708127,10/01/2018,Lopez F.,Schwartzman D.,,,1,2.424607129,0.88813448,0.315516502,,,,,,,,,,,
46721,1.32,1,1.182038495,0.895483708,0.117750575,10/01/2018,Mannarino A.,Berankis R.,,,1,1.213708913,0.919476449,0.145495906,,,,,,,,,,,
46722,2.2,1,1.26307093,0.57412315,0.295384619,10/01/2018,De Minaur A.,Dzumhur D.,,,1,1.538784528,0.699447513,0.362390697,,,,,,,,,,,
46723,1.58,0,1.540633453,0.29189145,0.601809943,10/01/2018,Khachanov K.,Cuevas P.,,,0,1.569044037,0.165013656,0.612907827,,,,,,,,,,,
46724,1.2,1,1.061844592,0.884870493,0.094744527,10/01/2018,Bautista Agut R.,Vesely J.,,,1,1.120534372,0.933778644,0.088592343,,,,,,,,,,,
46725,2.25,1,1.331681585,0.591858482,0.243374109,10/01/2018,Chung H.,Isner J.,,,1,1.511803374,0.671912611,0.145012408,,,,,,,,,,,
46726,1.47,1,0.929620027,0.632394576,0.250297943,10/01/2018,Del Potro J.M.,Shapovalov D.,,,1,0.831069664,0.565353513,0.170025319,,,,,,,,,,,
46727,1.73,1,1.505421978,0.870186114,0.217680924,10/01/2018,Ferrer D.,Sousa J.,,,1,1.537026486,0.888454616,0.188699916,,,,,,,,,,,
46728,2.8,1,1.651909804,0.589967787,0.410078295,10/01/2018,Gojowczyk P.,Sock J.,,,1,2.140884781,0.764601707,0.39539206,,,,,,,,,,,
46729,2.96,1,1.616093039,0.545977378,0.290860832,10/01/2018,Vesely J.,Querrey S.,,,1,1.854187384,0.626414657,0.277156413,,,,,,,,,,,
46730,1.74,1,1.185135435,0.681112319,0.264137156,10/01/2018,Haase R.,Lacko L.,,,1,1.325077415,0.761538744,0.182759151,,,,,,,,,,,
46731,1.29,0,2.416636479,0.293897634,0.592312862,11/01/2018,Del Potro J.M.,Khachanov K.,,,0,2.580294528,0.266331345,0.632425129,,,,,,,,,,,
46732,2.2,1,2.025032241,0.920469201,0.27084198,11/01/2018,Ferrer D.,Chung H.,,,1,1.949235225,0.886016011,0.356110156,,,,,,,,,,,
46733,2.11,0,1.567727847,0.152997382,0.856681883,11/01/2018,Haase R.,Gojowczyk P.,,,0,1.340945041,0.134595573,0.732756853,,,,,,,,,,,
46734,2,1,1.796336746,0.898168373,0.221839574,11/01/2018,De Minaur A.,Lopez F.,,,1,1.892506123,0.946253061,0.197686955,,,,,,,,,,,
46735,2.34,0,1.033520734,0.19849961,0.61155073,11/01/2018,Fognini F.,Mannarino A.,,,0,1.122077357,0.159678474,0.663951099,,,,,,,,,,,
46736,1.56,1,1.306629303,0.837582886,0.098738421,11/01/2018,Medvedev D.,Lorenzi P.,,,1,1.189095411,0.762240648,0.099068023,,,,,,,,,,,
46737,2.36,0,1.324151068,0.256454711,0.788185159,11/01/2018,Paire B.,Muller G.,,,1,0.854104753,0.361908793,0.2229909,,,,,,,,,,,
46738,1.29,1,1.166391434,0.904179406,0.193487497,12/01/2018,Del Potro J.M.,Ferrer D.,,,1,1.193934644,0.925530732,0.1079982,,,,,,,,,,,
46739,1.9,1,1.322185854,0.695887291,0.304209918,12/01/2018,De Minaur A.,Paire B.,,,1,1.350908881,0.711004674,0.358227521,,,,,,,,,,,
46740,1.94,1,1.335847745,0.688581312,0.253992178,12/01/2018,Medvedev D.,Fognini F.,,,1,1.226843928,0.632393777,0.25031805,,,,,,,,,,,
46741,1.29,1,1.188066923,0.920982111,0.06133618,12/01/2018,Bautista Agut R.,Haase R.,,,1,1.229782834,0.953320026,0.045879852,,,,,,,,,,,
46742,2.13,1,1.230984877,0.577927172,0.370147967,13/01/2018,Medvedev D.,De Minaur A.,,,1,1.16627063,0.547544897,0.474189311,,,,,,,,,,,
46743,3.16,1,2.279099514,0.721234024,0.382102409,13/01/2018,Bautista Agut R.,Del Potro J.M.,,,1,2.004304163,0.634273469,0.352291465,,,,,,,,,,,
46744,1.99,1,1.347053856,0.676911485,0.288908637,15/01/2018,Karlovic I.,Djere L.,,,1,1.243404835,0.62482655,0.297301978,,,,,,,,,,,
46745,1.95,0,1.353839616,0.352750313,0.694276726,15/01/2018,Mcdonald M.,Ymer E.,,,0,1.494521919,0.523588657,0.766421497,,,,,,,,,,,
46746,1.41,1,1.210464633,0.858485556,0.100816213,15/01/2018,Simon G.,Copil M.,,,1,1.286079682,0.912113249,0.072947353,,,,,,,,,,,
46747,2.95,0,0.916277763,0.323136288,0.627587509,15/01/2018,Sugita Y.,Sock J.,,,0,0.970986097,0.212924898,0.66505897,,,,,,,,,,,
46748,1.54,1,1.402031141,0.910409832,0.189315292,15/01/2018,Basilashvili N.,Melzer G.,,,1,1.490181178,0.967650115,0.181465432,,,,,,,,,,,
46749,1.86,0,1.048085348,0.39730829,0.511261145,15/01/2018,Baghdatis M.,Bhambri Y.,,,0,0.842381039,0.355138689,0.41091758,,,,,,,,,,,
46750,2.18,1,1.752836468,0.804053426,0.243965441,15/01/2018,Millman J.,Coric B.,,,1,1.338678573,0.61407274,0.199988082,,,,,,,,,,,
46751,5.39,0,0.845167123,0.203119251,0.710224473,15/01/2018,Bemelmans R.,Pouille L.,,,0,0.845225967,0.145019203,0.710273921,,,,,,,,,,,
46752,1.03,1,1.00431984,0.975067806,0.027057412,15/01/2018,Kyrgios N.,Dutra Silva R.,,,1,0.989668379,0.960843086,0.020908348,,,,,,,,,,,
46753,1.01,1,0.988094642,0.978311527,0.01571901,15/01/2018,Nadal R.,Estrella Burgos V.,,,1,0.984771034,0.975020826,0.013796791,,,,,,,,,,,
46754,1.72,1,1.439650499,0.837006104,0.186389256,15/01/2018,Jaziri M.,Caruso S.,,,1,1.437266581,0.835620105,0.211384907,,,,,,,,,,,
46755,1.4,1,1.132794769,0.809139121,0.230688152,15/01/2018,Sousa J.,Brown D.,,,1,1.247087622,0.890776873,0.284178495,,,,,,,,,,,
46756,1.1,1,1.033827797,0.939843452,0.086006546,15/01/2018,Tsonga J.W.,King K.,,,1,1.0218279,0.928934455,0.087531671,,,,,,,,,,,
46757,1.46,1,1.088209778,0.745349163,0.140263145,15/01/2018,Mayer L.,Jarry N.,,,1,1.122604845,0.768907428,0.139908344,,,,,,,,,,,
46758,1.68,1,1.530275785,0.910878444,0.175172675,15/01/2018,Dzumhur D.,Lorenzi P.,,,1,1.444312863,0.859710038,0.132182404,,,,,,,,,,,
46759,1.9,1,1.481853379,0.779922831,0.278670131,15/01/2018,Ruud C.,Halys Q.,,,1,1.41535188,0.744922042,0.311704278,,,,,,,,,,,
46760,1.27,1,1.189864933,0.936901522,0.047202149,15/01/2018,Schwartzman D.,Lajovic D.,,,1,1.211138298,0.953652203,0.056652885,,,,,,,,,,,
46761,1.14,1,0.996933072,0.874502695,0.14134676,15/01/2018,Cilic M.,Pospisil V.,,,1,0.967002929,0.848248184,0.107111067,,,,,,,,,,,
46762,1.37,0,2.234735345,0.376523149,0.659213966,15/01/2018,Harrison R.,Sela D.,,,0,2.23458176,0.221226454,0.659168661,,,,,,,,,,,
46763,2.97,1,1.336739156,0.450080524,0.284003248,15/01/2018,Edmund K.,Anderson K.,,,1,1.217411526,0.409902871,0.229090035,,,,,,,,,,,
46764,1.27,1,1.214258732,0.956109238,0.070018095,15/01/2018,Carreno Busta P.,Kubler J.,,,1,1.215121143,0.956788301,0.043146357,,,,,,,,,,,
46765,1.77,1,1.283819596,0.725321805,0.381818387,15/01/2018,Cuevas P.,Youzhny M.,,,1,1.394814205,0.788030624,0.463107258,,,,,,,,,,,
46766,1.71,1,1.296897674,0.758419693,0.320773995,15/01/2018,Istomin D.,Herbert P.H.,,,1,1.457565787,0.852377653,0.251904041,,,,,,,,,,,
46767,1.27,1,1.024765847,0.806902242,0.092054659,15/01/2018,Muller G.,Delbonis F.,,,1,0.879532297,0.692545116,0.091476731,,,,,,,,,,,
