match_index,Pinnacle_Odds,correct_prediction,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,date,Player1,Player2
2822,1.82,0,1.3071780272722244,0.2178834855556488,0.6471178352832794,2019-01-10,Norrie C.,Fritz T.
2717,1.94,1,1.2965808324813843,0.6683406352996826,0.36515754610300066,2019-01-02,Jaziri M.,Ramanathan R.
2777,1.54,1,1.2926755309104918,0.8393996953964233,0.5725377102692922,2019-01-06,Nishioka Y.,Garin C.
2735,2.13,1,1.2863993310928346,0.6039433479309082,0.4340163667996724,2019-01-03,Karlovic I.,Gulbis E.
2721,1.45,1,1.2704375165700912,0.8761638045310974,0.24095741659402847,2019-01-02,Simon G.,Ivashka I.
2823,1.81,1,1.2697116961479185,0.7014981746673584,0.24324482381343843,2019-01-10,Struff J.L.,Carreno Busta P.
2666,1.62,1,1.2660163678228855,0.7814915850758553,0.3944747522473335,2018-12-30,Kecmanovic M.,Daniel T.
2789,1.36,1,1.263026074409485,0.9286956429481507,0.16067761778831482,2019-01-07,Querrey S.,Jaziri M.
2788,1.48,1,1.258355342745781,0.850240096449852,0.33169397339224815,2019-01-07,Kohlschreiber P.,Klahn B.
2680,2.74,0,1.252659591883421,0.34088175743818283,0.8521493822336197,2018-12-31,Uchiyama Y.,Humbert U.
2686,1.34,1,1.2507544813156128,0.9333988666534424,0.09371878057718278,2018-12-31,Bautista Agut R.,Berrettini M.
2746,1.54,1,1.250602945804596,0.8120798349380494,0.12507684603333474,2019-01-04,Karlovic I.,Darcis S.
2734,1.87,0,1.2502023455500602,0.22428350895643234,0.6444341987371445,2019-01-02,Medvedev D.,Murray A.
2691,2.26,0,1.246699047088623,0.3746792316436768,0.7555751800537109,2019-01-01,Tsonga J.W.,Kokkinakis T.
2824,1.53,1,1.2364817283153535,0.808157992362976,0.2103682890534401,2019-01-10,Kohlschreiber P.,Fognini F.
2768,1.42,1,1.2242199084758758,0.8621266961097718,0.2681209608912468,2019-01-05,Opelka R.,Andujar P.
2711,1.44,1,1.2216583671569825,0.8483738660812378,0.18012796640396117,2019-01-01,Kyrgios N.,Harrison R.
2794,2.75,0,1.215537186384201,0.31269128918647765,0.8325597167015075,2019-01-07,Sousa J.,Shapovalov D.
2713,3.11,0,1.2067435719966886,0.23497439473867415,0.8744518637657166,2019-01-02,Chardy J.,Kyrgios N.
2641,1.81,1,1.2008231868743895,0.6634382247924805,0.13432723730802537,2018-12-29,Bolelli S.,Schnur B.
2826,1.74,1,1.1924077162742617,0.6852917909622193,0.13314632400870324,2019-01-10,Schwartzman D.,Nishioka Y.
2762,1.35,1,1.190219897031784,0.8816443681716919,0.1392642617225647,2019-01-05,Nishioka Y.,Kubler J.
2712,1.38,1,1.1875458862781523,0.8605404973030091,0.3151005834341049,2019-01-02,de Minaur A.,Thompson J.
2685,1.24,1,1.172988031387329,0.9459580898284912,0.25331317335367204,2018-12-31,Verdasco F.,Lorenzi P.
2683,2.07,1,1.1679902417063712,0.5642464935779572,0.2688421979546547,2018-12-31,Jarry N.,Haase R.
2772,1.37,1,1.1622128635644913,0.848330557346344,0.048939977586269376,2019-01-06,Marterer M.,Fabbiano T.
2638,2.19,1,1.1595387053489685,0.5294697284698486,0.04328980576246977,2018-12-29,Ofner S.,Bemelmans R.
2667,1.56,1,1.1578819212913514,0.7422320008277893,0.1855617105960846,2018-12-30,Berankis R.,Lorenzi P.
2821,1.68,1,1.1544981861114503,0.6872013012568156,0.2738431543111801,2019-01-10,Sandgren T.,Mayer L.
2763,1.34,1,1.1446284706592562,0.8542003512382508,0.09192850887775421,2019-01-05,Rublev A.,Donskoy E.
2728,1.7,1,1.1379214266935984,0.6693655451138815,0.33365588386853534,2019-01-02,Herbert P.H.,Marterer M.
2812,1.61,1,1.136033598780632,0.7056109309196472,0.32001635432243347,2019-01-09,Fognini F.,Gojowczyk P.
2813,1.82,1,1.1312183308601382,0.6215485334396362,0.11307385712862014,2019-01-09,Seppi A.,Klizan M.
